ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot
201.84561176854592,-47.60400260519493,-3.87754422391504,-6.245535520766191,0.195988585356888,1.0551347,18.12395,18.352997,17.588306,1.0408611,5560.6772
201.8423856464166,-47.59592191874163,-3.559158430562606,-7.055060628459226,0.2574843112973479,0.80751723,18.887453,19.376873,18.457008,0.9522383,5407.4785
201.8433520264936,-47.59439422025191,-3.5037287808294293,-7.6110694313593665,0.0187611164977849,0.048148964,18.925972,19.202442,18.283827,1.0719515,5279.686
201.85994730289613,-47.59839296541861,-3.7913982342602486,-6.3917146434041,0.2792364603409336,1.9580889,17.729004,18.039011,17.176937,1.0762001,5515.535
201.8629400387687,-47.596368258412305,-3.697280162588932,-7.187088772545996,0.0397631752209108,0.34757608,17.303415,17.680614,16.702702,1.0397732,5566.8164
201.86870952577752,-47.58873760786262,-3.247433925319755,-6.5415381354492315,0.113540546163473,0.38496146,18.844273,19.085768,18.327402,0.988582,5573.2134
201.87886076864575,-47.59115842994432,-3.2278954507965887,-7.007899707957327,0.5102882937282717,3.3296216,17.54607,17.805405,16.973894,1.3648866,5576.6533
201.8890157662799,-47.58178449130433,-3.6299521793086433,-6.2284611861605015,0.3189117568239604,1.5449437,18.458395,18.94255,18.0252,1.0254564,5364.136
201.90032014108132,-47.58972411113675,-2.8441867811075774,-6.444040866879293,0.1446836759495089,0.86092645,18.287998,18.616371,17.818035,0.97205174,5690.03
201.9023885654223,-47.58099854018955,-3.6765444610871993,-6.497410961661251,0.4006211613062355,1.7497952,18.71619,18.91595,18.017202,1.0638118,5542.0137
201.90148583835537,-47.57714488303409,-3.9201018420893945,-6.744886762169327,0.122107004325093,0.77103865,18.1791,18.234015,17.385618,0.9928644,5565.7715
201.9075386593161,-47.580816571649514,-3.2173268153481325,-6.784498708390748,0.1576236787630069,1.1527839,17.816889,18.09403,17.255415,1.0227556,5560.1733
